feature,bin,n,bad_rate,woe,coefficient,points
dti,"(5.35, 9.18]",37131,0.06493226683902938,0.34404785569257096,-0.5486736167500111,42.4
dti,"(9.18, 11.82]",37065,0.07187373532982598,0.2350502709345046,-0.5486736167500111,40.7
dti,"(11.82, 15.17]",55527,0.07657535973490374,0.16667253557317416,-0.5486736167500111,39.6
dti,"(15.17, 17.34]",37007,0.08209257708001189,0.0910656162106496,-0.5486736167500111,38.4
dti,"(17.34, 18.45]",18553,0.08807200991753356,0.014096381341235725,-0.5486736167500111,37.2
dti,"(18.45, 20.77]",36992,0.09223615916955018,-0.03653309354782488,-0.5486736167500111,36.4
dti,"(20.77, 22.04]",18581,0.09396695549216942,-0.05715750745370462,-0.5486736167500111,36.0
dti,"(22.04, 24.9]",36983,0.10475083146310467,-0.17762984634528442,-0.5486736167500111,34.1
dti,"(24.9, 28.57]",37074,0.11328693963424502,-0.26553975895662696,-0.5486736167500111,32.7
dti,"(28.57, inf]",36993,0.1254831995242343,-0.38162610091180255,-0.5486736167500111,30.9
bc_open_to_buy,missing,3451,0.10576644450883801,-0.18950671174653816,-0.36779486745961076,34.9
bc_open_to_buy,"(-inf, 104]",18432,0.13069661458333334,-0.428396336807426,-0.36779486745961076,32.4
bc_open_to_buy,"(104, 510]",36643,0.10943427121141829,-0.22661002810788647,-0.36779486745961076,34.5
bc_open_to_buy,"(510, 785]",18357,0.10486462929672605,-0.1789580675078879,-0.36779486745961076,35.1
bc_open_to_buy,"(785, 1103]",18360,0.09950980392156862,-0.12059376137532811,-0.36779486745961076,35.7
bc_open_to_buy,"(1103, 1905]",36665,0.09916814400654575,-0.11665405346855,-0.36779486745961076,35.7
bc_open_to_buy,"(1905, 2391]",18369,0.09537808263922913,-0.07362045738366389,-0.36779486745961076,36.2
bc_open_to_buy,"(2391, 3610]",36681,0.09320901829284915,-0.0480971796428618,-0.36779486745961076,36.4
bc_open_to_buy,"(3610, 4385]",18361,0.0873590763030336,0.023000263291545597,-0.36779486745961076,37.2
bc_open_to_buy,"(4385, 6454]",36684,0.08698615200087231,0.02782689004941705,-0.36779486745961076,37.2
bc_open_to_buy,"(6454, 9841]",36700,0.08193460490463216,0.09316229715926566,-0.36779486745961076,37.9
bc_open_to_buy,"(9841, 16170]",36694,0.07341799749277811,0.21212909760831378,-0.36779486745961076,39.2
bc_open_to_buy,"(16170, 33276]",36696,0.06335840418574232,0.3702591885484239,-0.36779486745961076,40.9
bc_open_to_buy,"(33276, inf]",18350,0.048555858310626705,0.6517002804053921,-0.36779486745961076,43.9
tot_hi_cred_lim,"(-inf, 39831]",74092,0.10889164822113048,-0.22097518052446125,-0.40215766540348086,34.4
tot_hi_cred_lim,"(39831, 46900]",18542,0.10414194800992342,-0.17123515092313726,-0.40215766540348086,35.0
tot_hi_cred_lim,"(46900, 64009]",37022,0.10072389390092377,-0.13394546806559512,-0.40215766540348086,35.4
tot_hi_cred_lim,"(64009, 75646]",18523,0.09831020892943908,-0.10713540303964168,-0.40215766540348086,35.7
tot_hi_cred_lim,"(75646, 111569]",37045,0.09655823997840464,-0.08709300887352889,-0.40215766540348086,35.9
tot_hi_cred_lim,"(111569, 164129]",37042,0.09200367150801793,-0.03375346031180064,-0.40215766540348086,36.6
tot_hi_cred_lim,"(164129, 217354]",37045,0.08530166014306924,0.04922347694998693,-0.40215766540348086,37.5
tot_hi_cred_lim,"(217354, 247093]",18523,0.08157425902931491,0.09781235834955303,-0.40215766540348086,38.1
tot_hi_cred_lim,"(247093, 323359]",37043,0.0699457387360635,0.26431123072888324,-0.40215766540348086,40.0
tot_hi_cred_lim,"(323359, inf]",55566,0.05865097361696001,0.45253248045815664,-0.40215766540348086,42.2
mo_sin_rcnt_tl,"(-inf, 1]",36360,0.1157040704070407,-0.2893808120184483,-0.21733926486123378,35.1
mo_sin_rcnt_tl,"(1, 2]",38665,0.11056511056511056,-0.2381541655558392,-0.21733926486123378,35.5
mo_sin_rcnt_tl,"(2, 3]",37495,0.10185358047739698,-0.1463527336556904,-0.21733926486123378,36.0
mo_sin_rcnt_tl,"(3, 4]",33160,0.09728588661037395,-0.09541977140278031,-0.21733926486123378,36.4
mo_sin_rcnt_tl,"(4, 5]",29455,0.09339670684094381,-0.050347601377442104,-0.21733926486123378,36.6
mo_sin_rcnt_tl,"(5, 6]",26132,0.0879381601102097,0.015843900227938378,-0.21733926486123378,37.0
mo_sin_rcnt_tl,"(6, 7]",23862,0.0857011147431062,0.04403666727735747,-0.21733926486123378,37.2
mo_sin_rcnt_tl,"(7, 8]",20877,0.08348900704124156,0.07256492688400588,-0.21733926486123378,37.4
mo_sin_rcnt_tl,"(8, 10]",32426,0.08009005119348671,0.11791491835493174,-0.21733926486123378,37.7
mo_sin_rcnt_tl,"(10, 12]",23899,0.07786936691911796,0.14837483517114275,-0.21733926486123378,37.9
mo_sin_rcnt_tl,"(12, 17]",32444,0.06885710763161139,0.2811385822905825,-0.21733926486123378,38.7
mo_sin_rcnt_tl,"(17, inf]",35668,0.05604463384546372,0.5006617593524789,-0.21733926486123378,40.1
mths_since_recent_inq,missing,36274,0.059574350774659536,0.4358573008558964,-0.6971869638182253,45.7
mths_since_recent_inq,"(-inf, 1]",65393,0.11669444741791934,-0.2989781165673105,-0.6971869638182253,30.9
mths_since_recent_inq,"(1, 2]",29145,0.10475210156115972,-0.17767403135963825,-0.6971869638182253,33.4
mths_since_recent_inq,"(2, 3]",26070,0.0970464135021097,-0.09272804401429442,-0.6971869638182253,35.1
mths_since_recent_inq,"(3, 4]",23982,0.09407055291468601,-0.05831570102843509,-0.6971869638182253,35.8
mths_since_recent_inq,"(4, 5]",21782,0.09301257919382977,-0.045861090351807986,-0.6971869638182253,36.0
mths_since_recent_inq,"(5, 6]",19608,0.0923092615259078,-0.037522340529983794,-0.6971869638182253,36.2
mths_since_recent_inq,"(6, 7]",19221,0.08672805785338952,0.030951354102496213,-0.6971869638182253,37.6
mths_since_recent_inq,"(7, 9]",31990,0.08261956861519225,0.08407009268651676,-0.6971869638182253,38.6
mths_since_recent_inq,"(9, 11]",25071,0.0784970683259543,0.13967881540969107,-0.6971869638182253,39.8
mths_since_recent_inq,"(11, 14]",28337,0.07827222359459364,0.14281739557792714,-0.6971869638182253,39.8
mths_since_recent_inq,"(14, inf]",43570,0.07096626118889143,0.24875766928151435,-0.6971869638182253,42.0
term_months,"(-inf, 36]",262992,0.07876285210196508,0.1362204783798311,-1.0491822501806087,41.1
term_months,"(36, inf]",107451,0.11485235130431545,-0.28096166784506077,-1.0491822501806087,28.4
mo_sin_old_rev_tl_op,"(-inf, 67]",18885,0.1301032565528197,-0.42316041595744225,-0.5075094727736472,30.8
mo_sin_old_rev_tl_op,"(67, 96]",36938,0.11134874654827008,-0.2461020696521938,-0.5075094727736472,33.3
mo_sin_old_rev_tl_op,"(96, 108]",19267,0.10053459282711372,-0.1319640016224578,-0.5075094727736472,35.0
mo_sin_old_rev_tl_op,"(108, 129]",37220,0.09981192907039227,-0.1238371285464583,-0.5075094727736472,35.1
mo_sin_old_rev_tl_op,"(129, 148]",36339,0.09458157901978591,-0.06422929465700365,-0.5075094727736472,36.0
mo_sin_old_rev_tl_op,"(148, 157]",18805,0.0903483116192502,-0.013909056303159644,-0.5075094727736472,36.7
mo_sin_old_rev_tl_op,"(157, 166]",18788,0.08542686821375346,0.047480912130781434,-0.5075094727736472,37.6
mo_sin_old_rev_tl_op,"(166, 186]",36101,0.08359879227722224,0.07124117502487652,-0.5075094727736472,38.0
mo_sin_old_rev_tl_op,"(186, 200]",19576,0.08229464650592562,0.08825435540952309,-0.5075094727736472,38.2
mo_sin_old_rev_tl_op,"(200, 230]",36558,0.08135018327041961,0.10095521897289708,-0.5075094727736472,38.4
mo_sin_old_rev_tl_op,"(230, 277]",36416,0.07244068541300527,0.22658045716612576,-0.5075094727736472,40.3
mo_sin_old_rev_tl_op,"(277, 310]",18731,0.07057818589504031,0.25445867509978415,-0.5075094727736472,40.7
mo_sin_old_rev_tl_op,"(310, inf]",36819,0.06868736250305549,0.28381321873865495,-0.5075094727736472,41.1
mths_since_recent_bc,missing,3126,0.10428662827895073,-0.1739101714572542,-0.460940605958065,34.6
mths_since_recent_bc,"(-inf, 2]",30545,0.11559993452283517,-0.28838242536891107,-0.460940605958065,33.1
mths_since_recent_bc,"(2, 4]",33031,0.10362992340528594,-0.16563541170062143,-0.460940605958065,34.7
mths_since_recent_bc,"(4, 6]",29521,0.09843839978320518,-0.10848932970301799,-0.460940605958065,35.5
mths_since_recent_bc,"(6, 8]",26523,0.0961052671266448,-0.08193997040904828,-0.460940605958065,35.9
mths_since_recent_bc,"(8, 14]",64618,0.09508186573400601,-0.07000008536216122,-0.460940605958065,36.0
mths_since_recent_bc,"(14, 17]",24361,0.09355116785025246,-0.052204155424864444,-0.460940605958065,36.3
mths_since_recent_bc,"(17, 22]",31465,0.08434768790719847,0.061484825563963785,-0.460940605958065,37.8
mths_since_recent_bc,"(22, 31]",38409,0.08336587778905985,0.07429389891066036,-0.460940605958065,37.9
mths_since_recent_bc,"(31, 48]",33772,0.07393698922184058,0.2045113375041853,-0.460940605958065,39.7
mths_since_recent_bc,"(48, 66]",19004,0.07003788676068196,0.26272674188941963,-0.460940605958065,40.4
mths_since_recent_bc,"(66, inf]",36068,0.06135632693800599,0.4044930201150637,-0.460940605958065,42.3
home_ownership,MORTGAGE,192002,0.07625962229560108,0.17122265105657,-0.47042717515987037,39.3
home_ownership,OWN,34258,0.090956856792574,-0.021170605879313166,-0.47042717515987037,36.7
home_ownership,RENT,144182,0.10609507428111692,-0.19179847743014117,-0.47042717515987037,34.3
home_ownership,rare,1,0.0,0.0,-0.47042717515987037,36.9
purpose,car,2882,0.07147814018043026,0.2389313630416929,-0.8600492718730978,42.9
